#1_usercol	2_usercol	3_usercol	5_pct_gc	7_num_C	8_num_G	12_seq_len
chr1	6161802	6161916	0.622807	33	38	114
chr1	6161802	6161916	0.622807	33	38	114
chr1	6161802	6161916	0.622807	33	38	114
chr1	6161802	6161916	0.622807	33	38	114
chr1	6161802	6161916	0.622807	33	38	114
chr1	6161802	6161916	0.622807	33	38	114
chr1	6161802	6161916	0.622807	33	38	114
chr1	6161802	6161916	0.622807	33	38	114
chr1	6161802	6161916	0.622807	33	38	114
chr1	7668618	7668735	0.615385	35	37	117
chr1	7668618	7668735	0.615385	35	37	117
chr1	7668618	7668735	0.615385	35	37	117
chr1	7668618	7668735	0.615385	35	37	117
chr1	7668618	7668735	0.615385	35	37	117
chr1	7668618	7668735	0.615385	35	37	117
chr1	7668618	7668735	0.615385	35	37	117
chr1	7668618	7668735	0.615385	35	37	117
chr1	7668618	7668735	0.615385	35	37	117
chr1	9253135	9253250	0.469565	31	23	115
chr1	9253135	9253250	0.469565	31	23	115
chr1	9253135	9253250	0.469565	31	23	115
chr1	9253135	9253250	0.469565	31	23	115
chr1	9253135	9253250	0.469565	31	23	115
chr1	9253135	9253250	0.469565	31	23	115
chr1	9253135	9253250	0.469565	31	23	115
chr1	9253135	9253250	0.469565	31	23	115
chr1	9253135	9253250	0.469565	31	23	115
chr1	9253165	9253283	0.466102	29	26	118
chr1	9253165	9253283	0.466102	29	26	118
chr1	9253165	9253283	0.466102	29	26	118
chr1	9253165	9253283	0.466102	29	26	118
chr1	9253165	9253283	0.466102	29	26	118
chr1	9253165	9253283	0.466102	29	26	118
chr1	9253165	9253283	0.466102	29	26	118
chr1	9253165	9253283	0.466102	29	26	118
chr1	9253165	9253283	0.466102	29	26	118
chr1	9253179	9253287	0.462963	28	22	108
chr1	9253179	9253287	0.462963	28	22	108
chr1	9253179	9253287	0.462963	28	22	108
chr1	9253179	9253287	0.462963	28	22	108
chr1	9253179	9253287	0.462963	28	22	108
chr1	9253179	9253287	0.462963	28	22	108
chr1	9253179	9253287	0.462963	28	22	108
chr1	9253179	9253287	0.462963	28	22	108
chr1	9253179	9253287	0.462963	28	22	108
chr1	10339956	10340062	0.566038	20	40	106
chr1	10339956	10340062	0.566038	20	40	106
chr1	10339956	10340062	0.566038	20	40	106
chr1	10339956	10340062	0.566038	20	40	106
chr1	10339956	10340062	0.566038	20	40	106
chr1	10339956	10340062	0.566038	20	40	106
chr1	10339956	10340062	0.566038	20	40	106
chr1	10339956	10340062	0.566038	20	40	106
chr1	10339956	10340062	0.566038	20	40	106
chr1	10353405	10353521	0.525862	31	30	116
chr1	10353405	10353521	0.525862	31	30	116
chr1	10353405	10353521	0.525862	31	30	116
chr1	10353405	10353521	0.525862	31	30	116
chr1	10353405	10353521	0.525862	31	30	116
chr1	10353405	10353521	0.525862	31	30	116
chr1	10353405	10353521	0.525862	31	30	116
